d_odds,odds,home_name,score,away_name,_id,a_odds,result,match_id,time,h_odds
2.07,,老虎竞技,1:1,阿根廷独立,20180320006,3.00,1,周一006,2018-03-20,3.20
3.00,,瓦奇巴托,2:0,拉卡莱拉联合,20180320005,3.30,3,周一005,2018-03-20,2.03
2.78,,班菲尔德,0:2,圣菲联合,20180320004,2.78,0,周一004,2018-03-20,2.45
2.15,,布雷斯特,0:2,尼姆,20180320003,3.25,0,周一003,2018-03-20,2.82
3.10,,唐卡斯特,2:0,布拉德福德,20180320002,3.05,3,周一002,2018-03-20,2.09
2.57,,奥厄,2:1,菲尔特,20180320001,2.90,3,周一001,2018-03-20,2.53
2.70,,韦拉克鲁斯,3:1,阿特拉斯,20180319066,2.85,3,周日066,2018-03-19,2.46
3.60,,天主大学,3:1,西班牙联合,20180319065,3.50,3,周日065,2018-03-19,1.77
6.90,,河床,3:1,贝尔格拉诺,20180319064,3.85,3,周日064,2018-03-19,1.38
1.88,,博塔弗戈SP,0:0,桑托斯,20180319063,3.05,1,周日063,2018-03-19,3.72
4.50,,达拉斯FC,3:0,西雅图海湾人,20180319062,3.60,3,周日062,2018-03-19,1.59
3.35,,安托法加斯塔,3:2,奥伊金斯,20180319061,3.25,3,周日061,2018-03-19,1.91
2.55,,基约塔,0:0,伊基克体育,20180319060,3.15,1,周日060,2018-03-19,2.38
1.75,,图库曼竞技,1:1,博卡青年,20180319059,3.20,1,周日059,2018-03-19,4.10
11.00,,里斯本竞技,2:0,里奥阿维,20180319058,5.25,3,周日058,2018-03-19,1.18
3.62,,马赛,2:3,里昂,20180319057,3.40,0,周日057,2018-03-19,1.79
--,,皇家马德里,6:3,赫罗纳,20180319056,--,3,周日056,2018-03-19,--
15.00,,那不勒斯,1:0,热那亚,20180319055,6.20,3,周日055,2018-03-19,1.11
9.50,,拉齐奥,1:1,博洛尼亚,20180319054,5.05,1,周日054,2018-03-19,1.21
1.28,,布拉干蒂诺,3:2,科林蒂安,20180319053,4.25,3,周日053,2018-03-19,8.85
3.65,,瓦勒伦加,2:1,奥德,20180319052,3.30,3,周日052,2018-03-19,1.81
12.50,,曼彻斯特联,2:0,布赖顿,20180318089,5.35,3,周六089,2018-03-18,1.16
6.50,,纽约城,2:0,奥兰多城,20180318088,4.50,3,周六088,2018-03-18,1.33
2.20,,蒙特利尔冲击,1:0,多伦多FC,20180318087,3.35,3,周六087,2018-03-18,2.66
4.82,,拉普拉塔大学生,0:1,戈多伊克鲁斯,20180319051,3.20,0,周日051,2018-03-19,1.64
1.77,,沙维什,1:4,布拉加,20180319050,3.30,0,周日050,2018-03-19,3.82
1.81,,比利亚雷亚尔,2:1,马德里竞技,20180319049,3.12,3,周日049,2018-03-19,3.90
6.55,,维戈塞尔塔,0:0,马拉加,20180319048,4.15,1,周日048,2018-03-19,1.36
3.58,,AIK索尔纳,0:2,佐加顿斯,20180319047,3.15,0,周日047,2018-03-19,1.88
1.54,,圣卡埃塔诺,1:0,圣保罗,20180318086,3.55,3,周六086,2018-03-18,5.05
3.38,,亚眠,1:1,特鲁瓦,20180318085,2.95,1,周六085,2018-03-18,2.02
5.40,,蒙彼利埃,2:2,第戎,20180318084,3.30,1,周六084,2018-03-18,1.56
4.06,,图卢兹,2:2,斯特拉斯堡,20180318083,3.05,1,周六083,2018-03-18,1.80
4.20,,昂热,3:0,卡昂,20180318082,3.05,3,周六082,2018-03-18,1.78
6.50,,维迪斯,0:0,赫拉克勒斯,20180318081,4.50,1,周六081,2018-03-18,1.33
13.00,,PSV埃因霍温,3:0,芬洛,20180318080,6.30,3,周六080,2018-03-18,1.12
2.80,,圣胡安圣马丁,3:0,拉普拉塔体操,20180318079,2.85,3,周六079,2018-03-18,2.38
1.13,,费伦斯,0:2,本菲卡,20180318078,5.80,0,周六078,2018-03-18,14.00
2.63,,费城联合,0:0,哥伦布机员,20180318077,3.40,1,周六077,2018-03-18,2.20
2.37,,普埃布拉,0:1,桑托斯拉古纳,20180317031,3.00,0,周五031,2018-03-17,2.68
5.28,,科隆竞技,1:2,拉努斯,20180317030,3.30,0,周五030,2018-03-17,1.57
2.82,,特木科体育,3:2,巴勒斯坦人,20180317029,3.30,3,周五029,2018-03-17,2.12
2.32,,明尼苏达联,2:1,芝加哥火焰,20180318076,3.45,3,周六076,2018-03-18,2.45
2.65,,华盛顿联,2:2,休斯敦迪纳摩,20180318075,3.30,1,周六075,2018-03-18,2.23
